"","Compound","ttest_cat","ssmd_cat"
"37","6-Gingerol 5 mg",5,5
"38","6-Mercaptopurine Monohydrate  5 g",5,5
"39","6,7-ADTN hydrobromide 50 mg",5,5
"40","6,7-Dihydroxycoumarin 1 g",5,5
"41","7-Hydroxyindole 1 g",5,5
"42","A23187 Calcium Ionophore 10 mg",9,9
"43","Abamectin 100 mg ",5,5
"44","Acacetin 50 mg",5,5
"45","Aceclofenac 5 g",5,5
"46","Acemetacin 1 g",5,5
"47","Acetylsalicylic acid 100 g",5,5
"48","Acivicin 10 mg",5,5
"49","Actinomycin D 10 mg",9,9
"50","Acycloguanosine 50 mg",9,9
"51","Alamethicin 5 mg",5,5
"52","Albendazole 10 g",8,8
"53","Alexidine dihydrochloride 5 g",9,9
"54","Allyl disulfide 500 mg",9,9
"55","?-Cyano-4-hydroxycinnamic acid 10 g",8,9
"56","?-Santonin  5 g",9,9
"57","Amantadine Hydrochloride  25 g ",5,5
"58","Amikacin hydrate 5 g                                           ",9,9
"59","Amiloride hydrochloride  50 mg",5,5
"60","Aminopterin 50 mg",5,5
"61","Amisulpride 50 mg",5,6
"62","Amitraz  5 g",5,5
"63","Amlodipine besylate 10 mg",5,5
"64","Amoxapine 250 mg",9,9
"65","Amoxicillin 1 g                                                      ",9,9
"66","Amphotericin B, from Streptomyces spp. 100 mg                               875 ug/mg",5,5
"67","Ampicillin sodium salt, 100g                                  ",9,9
"68","Amprolium Hydrochloride  25 g",8,9
"69","Anacardic acid 5 mg",6,6
"70","Andrographolide 5 mg",9,9
"71","Anhydrotetracycline hydrochloride 100 mg",9,9
"72","Anisomycin 25 mg",5,5
"73","Antimycin A from Streptomyces 50 mg              mixture of antimycins 548.6, 534.6",9,9
"74","Antipain dihydrochloride 25 mg",5,5
"75","Apramycin sulfate 1 g                                          ",9,9
"76","Aripiprazole 100 mg",5,8
"77","Artemisinin 5 g",5,8
"78","Artesunate 100 mg",5,5
"79","Asiatic acid 100 mg",5,5
"80","Aspartame 1 g",5,5
"81","Aspartate-beta-hydroxamate 100 mg",8,8
"82","Astemizole 10 mg",5,5
"83","Astromycin sulfate   (615 ug/mg)           ",9,9
"84","Atropine sulfate monohydrate 5 g",5,5
"85","Auranofin 100 mg",9,9
"86","Azaperone 500 mg",9,9
"87","Azaserine 50 mg",5,5
"88","Azide, sodium  25 g",5,5
"89","Azithromycin 25 mg",8,9
"90","Aztreonam 50 mg                                                ",5,8
"91","B-Estradiol 17-cypionate 1 g",9,9
"92","Bacitracin, from Bacillus licheniformis 5 g",9,9
"93","Baicalin hydrate 100 mg",5,5
"94","Balofloxacin 50 mg",8,8
"95","Bambuterol 500 mg",5,5
"96","BAY 11-7082 10 mg",5,5
"97","BAY 11-7085 10 mg",5,5
"98","Beauvericin 5 mg",9,9
"99","Benperidol",9,9
"100","Benserazide HCl 1 g",5,4
"101","Benzamide, 99% 5 g",5,5
"102","Benzamidine hydrochloride 5 g                             ",5,5
"103","Berberine chloride 5 g",5,5
"104","beta-Lapachone 5 mg",5,5
"105","Betamethasone 21-phosphate sodium salt  250 mg",5,5
"106","Betulin 1 g                                                             ",5,6
"107","Betulinic acid 100 mg                                            ",5,9
"108","Bialaphos 100 mg                                                          ",5,5
"109","Biapenem  100 mg",9,9
"110","Bibenzyl 5 g",5,8
"111","Bicyclomycin benzoate 25 mg",9,9
"112","Bifonazole 100 mg",9,9
"113","Bisbenzimide trihydrochloride 25 mg",9,9
"114","Bismuth (III) subsalicylate 100 g",9,9
"115","Bithionol 10 g ",9,9
"116","Bithionol sulfoxide 10 g",9,9
"117","Blasticidine S hydrochloride 25 mg",8,8
"118","Bleomycins 10 mg",8,9
"119","Brefeldin A  10 mg",9,9
"120","Bromperidol 100 mg                                                      ",8,9
"121","Broxyquinoline  25 g",9,9
"122","Butirosin A 10 mg",9,9
"123","Butyrophenone 25 g",9,9
"124","Cadmium acetate dihydrate 5 g",9,9
"125","Caffeine 5 g",6,6
"126","Candicidin 200 mg",5,5
"127","Cannabidiol 1 mg/mL in Methanol 1 mL",5,5
"128","Capreomycin sulfate 1 g                                                  855 ug/mg          ",8,9
"129","Carbadox 25 g",5,9
"130","Carbamazepine 1 g",6,6
"131","Carbenicillin disodium 1 g",9,9
"132","Carbonyl Cyanide m-Chlorophenyl hydrazon 100 mg",9,9
"133","Carvacrol sample                                                                            0.976 g/mL",5,5
"134","Cefaclor 500 mg",9,9
"135","Cefadroxil 1 g",9,9
"136","Cefamandole 1 g",9,9
"137","Cefapirin 100 mg",9,9
"138","Cefazolin 100 mg",9,9
"139","Cefdinir 1 g",9,9
"140","Cefditoren Pivoxil (Spectrabef)",9,9
"141","Cefepime HCl 1 g",9,9
"142","Cefixime (Suprax)",9,9
"143","Cefmetazole, sodium 250 mg",9,9
"144","Cefodizime disodium 50 mg",9,9
"145","Cefoperazone sodium 1 g",9,9
"146","Ceforanide 25 mg",9,9
"147","Cefotaxime, sodium 100 mg",9,9
"148","Cefoxitin sodium 250 mg",9,9
"149","Cefpodoxime Proxetil 50 mg",9,9
"150","Cefprozil",9,9
"151","Ceftazidime hydrate 1 g",9,9
"152","Ceftibuten",8,9
"153","Ceftiofur HCl 500 mg",9,9
"154","Ceftriaxone disodium salt hemi 250 mg",9,9
"155","Cefuroxime 1 g",9,9
"156","Celastrol 10 mg",5,8
"157","Cephalexin hydrate 5 g",9,9
"158","Cephalothin sodium 100 mg",9,9
"159","Cepharanthine 100 mg",9,9
"160","Cephradine 500 mg",9,9
"161","Cerulenin 5 mg",9,9
"162","Cetylpyridinium chloride monohydrate 100 g",6,6
"163","Chaetocin 4 mg",9,9
"164","Chetomin 5 mg",9,9
"165","Chloramphenicol 200 mg                                      ",8,9
"166","Chlorguanide hydrochloride 25 mg",5,5
"167","Chlorhexidine 1 g",9,9
"168","Chloroquine diphosphate salt 25 g",5,8
"169","Chlorothricin 2 mg",9,9
"170","Chlorpheniramine Maleate  5 g",5,5
"171","Chlorpromazine HCl 5 g",5,5
"172","Chlortetracycline 5 g",9,9
"173","Cholic acid 25 g",5,9
"174","Choline chloride 100 g                                                         ",8,9
"175","Chromomycin A3 from Streptomyces griseus 10 mg",9,9
"176","Chrysophanol 10 mg",9,9
"177","Cilastatin 50 mg",5,5
"178","Cinoxacin 1 g",9,9
"179","Clarithromycin 250 mg                                          ",9,9
"180","Climbazole 5 g",5,5
"181","Clinafloxacin HCl 1 g",9,9
"182","Clindamycin hydrochloride 50 mg                        ",9,9
"183","Clioquinol 50 mg",9,9
"184","Clobetasol propionate 100 mg",5,5
"185","Clopidol 1 g",9,9
"186","Closantel 1 g",9,9
"187","Clotrimazole 10 g",9,9
"188","Cloxacillin 1 g",5,6
"189","Clozapine 25 mg",5,5
"190","Colistin sulfate 100 mg                                                        approx.",5,5
"191","Coumermycin A-1 10 mg",9,9
"192","Cromolyn sodium  1 g",8,8
"193","Cryptotanshinone 10 mg",5,5
"194","Curcumin 5 g",5,5
"195","Cycloguanil hydrochloride 25 mg",5,5
"196","Cycloheximide 1 g",5,5
"197","Cyromazine  25 g",8,8
"198","D-Cycloserine 1 g    ",5,5
"199","Dacarbazine 100 mg",5,5
"200","Dalfopristin 100 mg",5,5
"201","Danofloxacin 50 mg",9,9
"202","Dapsone 1 g",9,9
"203","Daptomycin 25 mg",9,9
"204","Daunorubicin HCl 10 mg",9,9
"205","Decanal 10 mL                                                                               0.832 g/mL",5,8
"206","Deferoxamine mesylate 1g                                   ",5,5
"207","Demeclocycline hydrochloride 1 g                        ",9,9
"208","Dequalinium chloride hydrate 5 g",5,5
"209","Dextromethorphan hydrobromide monohydrate 5 g",5,5
"210","Diacylglycerol Kinase Inhibitor II 5 mg",9,9
"211","Diazolidinyl urea 25 g",5,5
"212","Dibromothymoquinone 250 mg",9,9
"213","Diclazuril 100 mg",5,6
"214","Diclofenac, sodium salt  10 g",5,5
"215","Dicloxacillin sodium monohydrate 1 g",9,9
"216","Difloxacin HCl 50 mg",8,9
"217","Diflunisal 5 g",6,6
"218","Dihydrostreptomycin sesquisulfate 5 g",9,9
"219","Diminazene aceturate 1 g",6,9
"220","Diosmin 1 g",8,8
"221","Dirythromycin 1 g",9,9
"222","Distamycin A HCl from Streptomyces 5 mg",5,8
"223","Dithionite sodium  50 g",5,5
"224","DL-alpha-Lipoic acid 1 g",8,9
"225","DL-Fluorocitrate barium salt 100 mg",6,9
"226","DL-Lanthionine 10 mg",9,9
"227","Domperidone 25 mg",5,5
"228","Dopamine 5 g",9,9
"229","Doramectin 100 mg",9,9
"230","Doripenem 50 mg",9,9
"231","Doxorubicin hydrochloride 150 mg                                       ",9,9
"232","Doxycycline hyclate 1 g                                        ",9,9
"233","Droperidol 1 g",9,9
"234","Duramycin from Streptoverticillium cinnamoneus 10 mg",5,5
"235","Ebselen 25 mg",6,6
"236","Echinomycin 5 mg",9,9
"237","Econazole nitrate 5 g                                           ",8,8
"238","Ellagic acid. dihydrate 100 mg",5,5
"239","Ellipticine 5 mg",5,5
"240","Emamectin B benzoate 100 mg",9,9
"241","Emetine dihydrochloride hydrate 500 mg",5,5
"242","Emodin 50 mg",9,9
"243","Enoxacin 50 mg",5,5
"244","Enramycin A 100 mg",9,9
"245","Enramycin B 50 mg",9,9
"246","Enrofloxacin 5 g",9,9
"247","(?)-Epigallocatechin gallate 50 mg",5,5
"248","Epinephrine (-) 1 g",5,5
"249","Epothilone B 10 mg",5,5
"250","Eprinomectin 100 mg",9,9
"251","Ertapenem sodium 100 mg",9,9
"252","Erythromycin 25g                                                ",9,9
"253","Erythromycin Stearate 5 g",9,9
"254","Esculin hydrate 5 g",5,5
"255","Esomeprazole magnesium dihydrate",5,5
"256","Ethacridine lactate monohydrate 25 g",5,5
"257","Ethambutol 25 g                                                   ",5,5
"258","Ethionamide 5 g                                                    ",9,9
"259","Ethosuximide 5 g",6,6
"260","Ethoxzolamide 1 g",6,6
"261","Etomidate 100 mg",5,5
"262","Etoposide 25 mg",8,8
"263","Eugenol 1 g",8,9
"264","Evernic acid  100 mg",9,9
"265","Famciclovir  50 mg",5,5
"266","Farnesol 5 g                                                                                   0.866 g/mL",9,9
"267","Febantel 100 mg",5,5
"268","Fenbendazole  5 g",5,4
"269","Fenbufen  1 g",5,5
"270","Ferrous perchlorate 100 g",5,5
"271","Ferulenol 10 mg",9,9
"272","Fiduxosin 5 mg                                                                                        ",5,5
"273","Flavomycin 5 g                                                                          8% over CaCO3",8,9
"274","Fleroxacin 50 mg",5,5
"275","Florfenicol 500 mg",9,9
"276","Flubendazole 10 g",5,5
"277","Fluconazole 100 mg                                              ",5,5
"278","Fluocinolone Acetonide  25 mg",9,9
"279","Fluphenazine 1 g",9,9
"280","Flurbiprofen  1 g",9,9
"281","Fluvastatin.sodium salt 10 mg",5,6
"282","Foscarnet 1 g",5,5
"283","Fosmidomycin 10 mg",8,9
"284","FR900098 10 mg",5,5
"285","Fropenem (Faropenem) 50 mg",9,9
"286","Furazolidone 10 g",5,5
"287","Furosemide  5 g",5,5
"288","Fusaric acid form Gibberells fujikuroi 250 mg",9,9
"289","Fusidic acid sodium salt 1 g                                  ",9,9
"290","G418 disulfate 1 g",9,9
"291","Gallium(III)ProtoporphyrinIX chloride 100 mg",8,8
"292","Gabapentin 10 mg",5,5
"293","Gallium(III) nitrate hydrate 5 g",5,5
"294","Ganciclovir 50 mg",5,5
"295","Gardiquimod 25 mg",5,9
"296","Gatifloxacin 100 mg                                              ",9,9
"297","Geldanamycin 10 mg",5,5
"298","Gemifloxacin mesylate 50 mg",9,9
"299","Geneticin disulfate 100 mg",9,9
"300","Gentamicin sulfate, 250 mg      ",9,9
"301","Glutathione 1 g",5,5
"302","Grepafloxacin 50 mg",9,9
"303","Griseofulvin 5 g",5,5
"304","Honokiol 10 mg",5,5
"305","Hydrocortisone  5 g",9,9
"306","Hydrogen Peroxide 30%",8,8
"307","Hydroxytyrosol . acetate 50 mg",5,5
"308","Hydroxyurea 1 g",5,8
"309","Hygromycin B                                                       ",9,9
"310","Ibudilast 10 mg",9,9
"311","Idarubicin HCl 10 mg",9,9
"312","Idoxuridine  500 mg",5,5
"313","Imipenem 1 g                                                        ",5,5
"314","Imipramine hydrochloride 5 g",5,5
"315","Imiquimod (R-837)100 mg",5,8
"316","Indole 25 g",5,5
"317","Indomethacin 5 g",9,9
"318","Irgasan 5 g                                                            ",5,5
"319","Irigenin-7-benzyl ether                                                  318.239 + benzyl  ether",8,9
"320","Irigenol hexaacetate                                                     318.239 + hexaacetate",5,5
"321","Isatin 100 g",5,5
"322","Isepamicin sulfate 50 mg                            ",9,9
"323","Isoconazole 10 g                                                 ",5,6
"324","Isoniazid 5 g                                                         ",5,5
"325","Isonicotinic acid 5 g",5,5
"326","Itaconic acid 100 g",5,8
"327","Itaconic anhydride 25 g",5,5
"328","Itraconazole 100 mg                                           ",8,8
"329","Ivermectin 250 mg                                          ",5,6
"330","Josamycin 50 mg",9,9
"331","Kanamycin sulfate 25 g                                        ",9,9
"332","Kanosamine hydrochloride 10 mg",9,9
"333","Kasugamycin hydrochloride 1 g",5,5
"334","Ketoconazole 100 mg                                           ",5,5
"335","Ketoprofen  5 g",5,6
"336","Kitasamycin 250 mg",5,5
"337","L-(+)-Ergotheoneine 5 mg",5,5
"338","L-Albizziine 100 mg",8,8
"339","L-beta-threo-Benzylaspartate 5 mg                                   desiccator",5,5
"340","L-Canavanine 100 mg",5,5
"341","L-Cycloserine 100 mg",5,5
"342","L-Tetrahydropalmatine 100 mg",5,5
"343","L-Theanine 1 g",2,2
"344","L-Thiocitrulline 50 mg",9,9
"345","Lamotrigine 100 mg",6,9
"346","Lansoprazole 250 mg",5,5
"347","Lanthium(III) carbonate hydrate 5 g",5,5
"348","Leoidin 100 mg",8,9
"349","Leupeptin hemisulfate 10 mg                                ",5,5
"350","Levodopa 1g",5,5
"351","Levofloxacin 1 g                                                   ",9,9
"352","Linarin 10 mg",5,5
"353","Lincomycin hydrochloride 1 g",9,9
"354","Linezolid 1 g                                                        ",9,9
"355","Lithium carbonate 100 g",5,5
"356","Lomefloxacin HCl 1 g",9,9
"357","Lomofungin 10 mg ",5,5
"358","Loperamide hydrochloride  5 g",5,9
"359","Loracarbef (Lorabid)",9,9
"360","Losartan Potassium  1 g",8,8
"361","Luteolin 10 mg",5,5
"362","Lycorine HCl 20 mg",9,9
"363","Maduramicin ammonium 100 mg",6,9
"364","Magnolol 10 mg",5,5
"365","Malathion 100 mg                                                                           1.23 g/mL",9,9
"366","Malic acid 25 g",8,8
"367","Malonic acid 25 g",8,8
"368","Marbofloxacin 50 mg",8,9
"369","Mebendazole 25 g",5,5
"370","Mecillinam 100 mg",9,9
"371","Meclocycline sulfosalicylate 500 mg                     ",9,9
"372","Mefloquine 100 mg",5,5
"373","Meglumine 50 g",8,8
"374","Meloxicam  100 mg",9,9
"375","Melperone hydrochloride 10 mg                                           ",5,5
"376","Memantine hydrochloride 25 mg",5,5
"377","Menadione 25 g                                                    ",5,8
"378","Meropenem 1 g                                                     ",9,9
"379","Methacycline hydrochloride 100 mg                     ",9,9
"380","Methicillin Sodium 500 mg",9,9
"381","Methiothepin mesylate 100 mg",5,5
"382","Methotrexate  10 mg  ",9,9
"383","Methylbenzethonium chloride 5 g",9,9
"384","Methylglyoxal solution  25 mL",5,5
"385","Methyl viologen dichloride hydrate 250 mg",8,8
"386","Metronidazole 5 g                                                 ",5,5
"387","Mevinolin from Aspergillus sp.  25 mg",5,5
"388","Mezerein 5 mg",5,5
"389","Miconazole (+/-) nitrate 1 g                                      ",8,9
"390","Micronomicin sulfate 10 g",9,9
"391","Midecamycin  10 mg",9,9
"392","Milbemycin oxime 200 mg",8,9
"393","Minocycline hydrochloride 100 mg",9,9
"394","Mithramycin A from Streptomyces plicatus 10 mg",9,9
"395","Mitomycin C 2 mg                                                 ",9,9
"396","Modafinil 10 mg",5,5
"397","Monensin 500 mg",9,9
"398","Moperone 10 mg",5,5
"399","Moxidectin 25 mg",9,9
"400","Moxifloxacin 100 mg                                           ",9,9
"401","Mupirocin 50 mg",9,9
"402","Mycophenolic acid from Penicillium brevis 50 mg",6,9
"403","Myricetin 10 mg",9,9
"404","Myriocin 10 mg",5,5
"405","Myristicin 50 mg                                                                            1.1437 g/mL",9,9
"406","Myxothiazol from Myxobacterium myxococcus 10 mg",9,9
"407","N-Acetyl-L-Cysteine 5 g                                       ",5,5
"408","N-Acetylmuramic acid 50 mg",4,4
"409","N-Methyl-DL-aspartic acid 250 mg",5,5
"410","N-Oleoyl ethanolamine 10 mg",5,5
"411","N,N-Dicyclohexylcarbodiimide (DCCD)  5g",5,5
"412","Nabumetone  5 g",9,9
"413","Nadifloxacin 250 mg",9,9
"414","Nafcillin sodium monohydrate 5 g",9,9
"415","Nalidixic acid 5 g                                                  ",5,5
"416","Naphthomycin B 2 mg",9,9
"417","Narasin from Streptomyces auriofaciens 5 mg",9,9
"418","Neamine 25 mg",9,9
"419","Neomycin sufate 5 g                                            ",9,9
"420","Netilmicin 10 mg",9,9
"421","Netropsin dihydrochloride 5 mg",9,9
"422","NG-Methyl-L-arginine acetate salt 25 mg",5,5
"423","Niclosamide 50 g",9,9
"424","Nicotinic acid 5 g",5,5
"425","Nifursol 25 g",5,5
"426","Nigericin 10 mg                                                    ",9,9
"427","Nikkomycin Z from Streptomyces tendae 5 mg",8,8
"428","Nimesulide 5 g",5,5
"429","Nisin from Lactococcus lactis 1 g",9,9
"430","Nitazoxanide 100 mg",9,9
"431","Nitrofurantoin 10 g",5,5
"432","Nitroxinil 100 mg",5,5
"433","Nogalamycin from Streptomyces nogalater 5 mg",9,9
"434","Nojirimycin bisulfite 5 mg",5,5
"435","Nonactin 25 mg",6,9
"436","Norfloxicin 1 g                                                      ",8,8
"437","Nosiheptide",9,9
"438","Novobiocin sodium salt 5 g                                  ",9,9
"439","Nystatin 50 mg",5,5
"440","Ofloxacin 1 g                                                        ",9,9
"441","Oleandomycin phosphate 1 g                                                             (687.866)",9,9
"442","Oleanolic acid 100 mg",5,5
"443","Oleic acid 10 mL                                                                             100 mg/mL",5,5
"444","Oligomycin from Streptomyces diastatochromogenes 5 mg",5,5
"445","Omeprazole 100 mg",5,5
"446","Orbifloxacin 50 mg",9,9
"447","Ornidazole 5 g",9,9
"448","Ostreogrycin A 5 mg",9,9
"449","Oxacillin sodium monohydrate 1 g",9,9
"450","Oxfendazole  10 g",8,8
"451","Oxibendazole  5 g",5,8
"452","Oxiconazole nitrate 1 g",5,5
"453","Oxolinic acid 1 g",5,5
"454","p-Benzoquinone 5 g",8,8
"455","p-Chloromercuribenzoic acid 5 g",5,5
"456","Paeonol 1 g",5,5
"457","Paromomyin sulfate 1 g",9,9
"458","Patulin 5 mg",9,9
"459","Pazufloxacin 50 mg",9,9
"460","Pefloxacin mesylate dihydrate 10 g                      ",9,9
"461","Penicillin G sodium salt 1 g",9,9
"462","Pentamidine isethionate 25 mg",9,9
"463","Pepstatin A 25 mg                                               ",5,5
"464","Perhexiine maleate 50 mg",9,9
"465","Perphenazine 1 g",9,9
"466","Phe-Arg-beta-Naphthylamide dihydrochloride 25 mg",5,5
"467","Phenothrin mixture of isomers 100 mg",5,5
"468","Phentolamine hydrochloride 50 mg",5,5
"469","Phenylmercuric acetate 97% 25 g",9,9
"470","Phenylmethylsulfonylfluoride PMSF 5 g               ",9,9
"471","Phleomycin from Strep verticillus 25 mg",5,9
"472","Phortress 10 mg",5,5
"473","Phosphinothricin 250 mg",5,5
"474","Phosphonoformic acid trisodium 250 mg",5,5
"475","Piericidin A 2 mg",9,9
"476","Pimaricin 25 mg",9,9
"477","Pimozide 500 mg",9,9
"478","Pipamperone 100 mg",5,5
"479","Pipemidic acid trihydrate 25 g",9,9
"480","Piperacillin sodium 1 g",9,9
"481","Platensimycin 250 ug",5,5
"482","Pleuromutilin 5 mg",9,9
"483","Plumbagin from Plumbago indica 100 mg",5,5
"484","Podophyllotoxin 50 mg",5,5
"485","Posaconazole",5,5
"486","Povidone iodine  50 g",5,5
"487","Pramoxine hydrochloride 10 g",5,6
"488","Praziquantel  1 g",5,5
"489","Pregabalin 100 mg",5,5
"490","Primaquine phosphate  5 g",5,5
"491","Pristimerin 5 mg",9,9
"492","Pristinamycins 100 mg                           ",9,9
"493","Prochlorperazine dimaleate 100 mg",5,6
"494","Prothionamide 1 g                                                ",9,9
"495","Prulifloxacin 250 mg",9,9
"496","Puromycin dihydrochloride 25mg",9,9
"497","Pyrantel Pamoate  5 g",2,3
"498","Pyrazinamide 10 g                                               ",5,5
"499","Pyrazinoic acid 25 g",5,5
"500","Pyrazole 5 g",5,5
"501","Pyridoxine 5 g",5,5
"502","Pyrimethamine 50 mg",8,8
"503","Quercetin 5 g",5,5
"504","Quetiapine hemifumarate 500 mg",8,8
"505","Quinine hemisulfate salt monohydrate 5 g",5,4
"506","Quinupristin 10 mg",9,9
"507","R(-)-Deprenyl?HCl (Selegiline) 100 mg",5,5
"508","Rabeprazole 10 mg",9,9
"509","Radicicol from Diheterospora chlamydosporia 5 mg",9,9
"510","Ramoplanin 250 mg",9,9
"511","Rapamycin 10 mg",6,9
"512","Rasagiline 25 mg",5,5
"513","Reserpine 1 g                                                       ",5,5
"514","Resveratrol 100 mg",8,8
"515","Retapamulin 100 mg",9,9
"516","Ribavirin 1 g",5,5
"517","Ribostamycin sulfate 100 mg                                                           670 ug/mg",9,9
"518","Ricobendazole 10 g",5,5
"519","Rifabutin 1 g                                                        ",9,9
"520","Rifamdin 10 mg",9,9
"521","Rifampicin 1g                                                     ",9,9
"522","Rifamycin SV monosodium salt 1 g",9,9
"523","Rifapentine 100 mg                                              ",8,9
"524","Rifaximine 50 mg",9,9
"525","Rimantadine Hydrochloride  25 mg",5,5
"526","Risperidone 10 mg",5,5
"527","Ristomycin sulfate 100 mg",9,9
"528","Ropinirole hydrochloride 25 mg",5,5
"529","Rosamicin 5 mg",9,9
"530","Rosmarinic Acid  10 mg",5,5
"531","Roxithromycin  1 g                                                    ",9,9
"532","Rufloxacin HCl 50 mg",5,5
"533","S-Nitrosoglutathione 25 mg                                  ",2,2
"534","S(-)-Atenolol 10 mg                                              ",5,5
"535","S(-)-Propranolol ? HCl 100 mg",5,5
"536","S(+) Ibuprofen 1 g  ",9,9
"537","Salbutamol 25 mg",5,5
"538","Salicin 5 g",8,8
"539","Salicylic acid sodium salt 50 g",5,8
"540","Salinomycin monosodium salt hydrate 100 mg",9,9
"541","Sangivamycin 10 mg",5,5
"542","Sanguinarine chloride 5 mg",9,9
"543","Sarafloxacin HCl 5 g",9,9
"544","Scopolamine hydrobromide  1 g",5,5
"545","Secnidazole 5 g",5,5
"546","Selamectin 100 mg",5,6
"547","Serotonin 100 mg",5,8
"548","Sertaconazole nitrate 125 mg",8,9
"549","Sertraline HCl 1 g",9,9
"550","Shikimic acid 1 g",5,5
"551","Shikonin 50 mg",8,9
"552","Sinefungin 5 mg",5,5
"553","Sisomicin sulfate 250 mg                                                                 595 ug/mg",9,9
"554","Solasodine (ST023803) 100 mg                       ",9,9
"555","Sparfloxacin 1 g                                                                ",9,9
"556","Spectinomycin dihydrochloride pentahydrate 5 g",9,9
"557","Spinosad (Spinosyn A and Spinosyn D) 50 mg",2,2
"558","Spiperone 250 mg",9,9
"559","Spiramycin 5 g",9,9
"560","Sterigmatocystin 5 mg",5,5
"561","Stigmatellin 10 mg",5,5
"562","Streptomycin sulfate 5 g                                     ",9,9
"563","Streptonigrin from Streptomyces flocculus 5 mg",5,5
"564","Streptothricin sulfate 5 mg",9,9
"565","Sulbactam sodium salt 500 mg",9,9
"566","Sulconazole nitrate 1 g",9,9
"567","Sulfabenzamide 25 g",9,9
"568","Sulfacetamide sodium",5,5
"569","Sulfachloropyridazine 100 g",5,5
"570","Sulfadiazine 25 g                                                  ",5,5
"571","Sulfamethizole 10 g",5,5
"572","Sulfamethoxazole 10 g",5,5
"573","Sulfamethoxypyrazine 25 mg",5,5
"574","Sulfamonomethoxine 250 mg",5,5
"575","Sulfaquinoxaline 10 g",5,5
"576","Sulfathiazole  100 g",5,5
"577","Sulfisoxazole 25 g",6,6
"578","Sulfoxone sodium 1 g",5,5
"579","Sumatriptan succinate 10 mg",5,8
"580","Suramin hexasodium salt  50 mg",5,5
"581","Surfactin from B. subtilis 10 mg",5,5
"582","Synercid (dalfopristin:quinupristin, 70:30 ) 5 mM dalfo",9,9
"583","Synthalin . sulfate  5 mg                                                                 256.4 . 98.1",5,5
"584","Syringaldazine 500 mg",5,5
"585","Tamoxifen 1 g",9,9
"586","Taurolidine 10 mg",9,9
"587","Taxol 25 mg",9,9
"588","Tazobactam sodium salt  10 mg                                          ",9,9
"589","Teicoplanin 1 g                                                   ",9,9
"590","Telithromycin 100 mg",5,5
"591","Telmisartan 10 mg                                                ",5,5
"592","TEMPOL 1 g",5,5
"593","Tenoxicam  250 mg",9,9
"594","Terbinafine Hydrochloride 100 mg",5,5
"595","Terconazole 250 mg",5,5
"596","Terfenadine 5 g",5,5
"597","Terizidone 100 mg",5,5
"598","Tetrabenazine 10 mg",5,5
"599","Tetracycline hydrochloride 25 g",9,9
"600","Thiabendazole 50 g",5,5
"601","Thiacetazone  100 g",5,4
"602","Thiamphenicol 1 g",5,5
"603","Thiamphenicol Palmitate  5 g",9,9
"604","Thimerosal, 97%  5 g                                            ",9,9
"605","Thiocarlide 100 mg",5,5
"606","Thiolactomycin 10 mg",5,5
"607","Thiolutin 1 mg ",9,9
"608","Thioridazine 5 g                                                   ",6,9
"609","Thiostrepton from Streptomyces azureus 1 g",9,9
